Name:department2	 Final eval: 9706.0
CPSC 203 LEC 01		: MO 10:00
CPSC 203 LEC 01 LAB 01	: TU 17:00
CPSC 203 LEC 01 LAB 02	: FR 14:00
CPSC 203 LEC 01 LAB 03	: TU 16:00
CPSC 203 LEC 01 LAB 04	: FR 12:00
CPSC 203 LEC 01 LAB 05	: TU 8:00
CPSC 203 LEC 01 LAB 06	: TU 15:00
CPSC 203 LEC 02		: MO 11:00
CPSC 203 LEC 02 LAB 07	: MO 9:00
CPSC 203 LEC 02 LAB 08	: TU 13:00
CPSC 203 LEC 02 LAB 09	: TU 10:00
CPSC 203 LEC 02 LAB 10	: MO 14:00
CPSC 203 LEC 02 LAB 11	: MO 16:00
CPSC 203 LEC 02 LAB 12	: MO 12:00
CPSC 203 LEC 03		: MO 13:00
CPSC 203 LEC 03 LAB 13	: MO 12:00
CPSC 203 LEC 03 LAB 14	: TU 10:00
CPSC 203 LEC 03 LAB 15	: MO 14:00
CPSC 203 LEC 03 LAB 16	: MO 9:00
CPSC 203 LEC 03 LAB 17	: TU 17:00
CPSC 203 LEC 03 LAB 18	: TU 11:00
CPSC 203 LEC 04		: MO 12:00
CPSC 203 LEC 04 LAB 19	: MO 14:00
CPSC 203 LEC 04 LAB 20	: MO 16:00
CPSC 203 LEC 04 LAB 21	: TU 11:00
CPSC 203 LEC 04 LAB 22	: TU 13:00
CPSC 203 LEC 04 LAB 23	: MO 17:00
CPSC 203 LEC 04 LAB 24	: TU 14:00
CPSC 203 LEC 95		: MO 19:00
CPSC 203 LEC 95 LAB 95	: MO 20:00
CPSC 203 LEC 95 LAB 96	: TU 20:00
CPSC 203 LEC 95 LAB 97	: TU 19:00
CPSC 203 LEC 95 LAB 98	: MO 18:00
CPSC 203 LEC 95 LAB 99	: TU 18:00
CPSC 203 LEC 95 LAB 90	: TU 18:00
CPSC 215 LEC 01		: MO 9:00
CPSC 215 LEC 01 LAB 01	: TU 12:00
CPSC 215 LEC 01 LAB 02	: MO 17:00
CPSC 215 LEC 01 LAB 03	: TU 11:00
CPSC 215 LEC 01 LAB 04	: TU 11:00
CPSC 231 LEC 01		: MO 12:00
CPSC 231 LEC 01 LAB 01	: MO 14:00
CPSC 231 LEC 01 LAB 02	: TU 12:00
CPSC 231 LEC 01 LAB 03	: MO 16:00
CPSC 231 LEC 01 LAB 04	: MO 13:00
CPSC 231 LEC 01 LAB 05	: MO 11:00
CPSC 231 LEC 01 LAB 06	: MO 15:00
CPSC 233 LEC 01		: MO 13:00
CPSC 233 LEC 01 LAB 01	: TU 9:00
CPSC 233 LEC 01 LAB 02	: TU 16:00
CPSC 233 LEC 01 LAB 03	: TU 13:00
CPSC 233 LEC 01 LAB 04	: MO 12:00
CPSC 233 LEC 01 LAB 05	: MO 14:00
CPSC 233 LEC 01 LAB 06	: TU 15:00
CPSC 233 LEC 01 LAB 07	: MO 10:00
CPSC 233 LEC 02		: MO 10:00
CPSC 265 LEC 01		: MO 9:00
CPSC 265 LEC 01 LAB 01	: MO 13:00
CPSC 265 LEC 01 LAB 02	: TU 14:00
CPSC 265 LEC 01 LAB 03	: MO 17:00
CPSC 265 LEC 01 LAB 04	: MO 17:00
CPSC 265 LEC 02		: MO 11:00
CPSC 265 LEC 02 LAB 05	: MO 8:00
CPSC 265 LEC 02 LAB 06	: FR 8:00
CPSC 265 LEC 02 LAB 07	: MO 10:00
CPSC 265 LEC 02 LAB 08	: MO 10:00
CPSC 313 LEC 01		: MO 15:00
CPSC 313 LEC 01 LAB 01	: TU 10:00
CPSC 313 LEC 01 LAB 02	: TU 14:00
CPSC 313 LEC 01 LAB 03	: TU 16:00
CPSC 321 LEC 01		: MO 11:00
CPSC 331 LEC 01		: MO 10:00
CPSC 331 LEC 01 LAB 01	: MO 16:00
CPSC 331 LEC 01 LAB 02	: TU 12:00
CPSC 331 LEC 01 LAB 03	: MO 11:00
CPSC 331 LEC 01 LAB 04	: TU 13:00
CPSC 333 LEC 01		: MO 9:00
CPSC 333 LEC 01 LAB 01	: TU 10:00
CPSC 335 LEC 01		: MO 13:00
CPSC 335 LEC 01 LAB 01	: TU 12:00
CPSC 335 LEC 01 LAB 02	: MO 15:00
CPSC 349 LEC 01		: MO 14:00
CPSC 349 LEC 01 LAB 01	: TU 17:00
CPSC 349 LEC 01 LAB 02	: MO 12:00
CPSC 349 LEC 01 LAB 03	: TU 12:00
CPSC 355 LEC 01		: MO 12:00
CPSC 355 LEC 01 LAB 01	: MO 13:00
CPSC 411 LEC 01		: MO 11:00
CPSC 411 LEC 01 LAB 01	: MO 12:00
CPSC 411 LEC 01 LAB 02	: MO 9:00
CPSC 411 LEC 01 LAB 03	: TU 11:00
CPSC 411 LEC 01 LAB 04	: MO 14:00
CPSC 413 LEC 01		: MO 9:00
CPSC 413 LEC 01 LAB 01	: MO 11:00
CPSC 413 LEC 01 LAB 02	: MO 15:00
CPSC 413 LEC 01 LAB 03	: MO 17:00
CPSC 421 LEC 01		: MO 13:00
CPSC 421 LEC 01 LAB 01	: TU 15:00
CPSC 433 LEC 01		: MO 16:00
CPSC 433 LEC 01 LAB 01	: TU 15:00
CPSC 433 LEC 01 LAB 02	: MO 12:00
CPSC 441 LEC 01		: MO 8:00
CPSC 441 LEC 01 LAB 01	: FR 12:00
CPSC 441 LEC 01 LAB 02	: FR 10:00
CPSC 441 LEC 01 LAB 03	: MO 13:00
CPSC 441 LEC 02		: MO 15:00
CPSC 441 LEC 02 LAB 04	: TU 19:00
CPSC 441 LEC 02 LAB 05	: TU 10:00
CPSC 441 LEC 02 LAB 06	: TU 8:00
CPSC 453 LEC 01		: MO 12:00
CPSC 453 LEC 01 LAB 01	: MO 10:00
CPSC 453 LEC 01 LAB 02	: TU 15:00
CPSC 453 LEC 01 LAB 03	: TU 20:00
CPSC 453 LEC 01 LAB 04	: TU 14:00
CPSC 455 LEC 01		: MO 10:00
CPSC 455 LEC 01 LAB 01	: TU 16:00
CPSC 455 LEC 01 LAB 02	: TU 14:00
CPSC 457 LEC 01		: MO 17:00
CPSC 457 LEC 01 LAB 01	: TU 9:00
CPSC 457 LEC 01 LAB 02	: MO 19:00
CPSC 457 LEC 02		: TU 12:30
CPSC 457 LEC 02 LAB 03	: TU 9:00
CPSC 457 LEC 02 LAB 04	: MO 15:00
CPSC 471 LEC 01		: TU 8:00
CPSC 471 LEC 01 LAB 01	: MO 9:00
CPSC 471 LEC 01 LAB 02	: MO 13:00
CPSC 471 LEC 01 LAB 03	: TU 14:00
CPSC 471 LEC 01 LAB 04	: TU 17:00
CPSC 481 LEC 01		: TU 14:00
CPSC 481 LEC 01 LAB 01	: FR 10:00
CPSC 481 LEC 01 LAB 02	: MO 16:00
CPSC 481 LEC 01 LAB 03	: FR 8:00
CPSC 481 LEC 01 LAB 04	: MO 10:00
CPSC 510 LEC 01		: TU 8:00
CPSC 510 LEC 01 LAB 01	: MO 18:00
CPSC 511 LEC 01		: MO 17:00
CPSC 511 LEC 01 LAB 01	: MO 15:00
CPSC 517 LEC 01		: TU 12:30
CPSC 517 LEC 01 LAB 01	: MO 11:00
CPSC 519 LEC 01		: MO 10:00
CPSC 519 LEC 01 LAB 01	: MO 8:00
CPSC 523 LEC 01		: MO 9:00
CPSC 523 LEC 01 LAB 01	: MO 16:00
CPSC 525 LEC 01		: MO 16:00
CPSC 525 LEC 01 LAB 01	: TU 15:00
CPSC 557 LEC 01		: TU 9:30
CPSC 557 LEC 01 LAB 01	: TU 13:00
CPSC 559 LEC 01		: MO 12:00
CPSC 559 LEC 01 LAB 01	: TU 9:00
CPSC 559 LEC 01 LAB 02	: TU 17:00
CPSC 565 LEC 01		: MO 14:00
CPSC 565 LEC 01 LAB 01	: TU 16:00
CPSC 565 LEC 01 LAB 02	: FR 10:00
CPSC 581 LEC 01		: MO 13:00
CPSC 581 LEC 01 LAB 01	: TU 9:00
CPSC 581 LEC 01 LAB 02	: TU 13:00
CPSC 587 LEC 01		: TU 14:00
CPSC 587 LEC 01 LAB 01	: MO 13:00
CPSC 587 LEC 01 LAB 02	: FR 12:00
CPSC 589 LEC 01		: MO 11:00
CPSC 589 LEC 01 LAB 01	: MO 20:00
CPSC 589 LEC 01 LAB 02	: TU 9:00
CPSC 591 LEC 01		: MO 8:00
CPSC 591 LEC 01 LAB 01	: FR 10:00
CPSC 591 LEC 01 LAB 02	: MO 19:00
CPSC 594 LEC 01		: MO 20:00
CPSC 594 LEC 01 LAB 01	: TU 12:00
CPSC 813 LEC 01		: TU 18:00
CPSC 913 LEC 01		: TU 18:00
SENG 311 LEC 01		: MO 16:00
SENG 311 LEC 01 LAB 01	: MO 15:00
SENG 311 LEC 01 LAB 02	: MO 11:00
SENG 311 LEC 01 LAB 03	: TU 17:00
SENG 411 LEC 01		: MO 14:00
SENG 411 LEC 01 LAB 01	: MO 10:00
SENG 411 LEC 01 LAB 02	: MO 11:00
SENG 411 LEC 01 LAB 03	: MO 9:00
SENG 411 LEC 01 LAB 04	: TU 16:00
SENG 411 LEC 01 LAB 05	: TU 10:00
SENG 411 LEC 02		: TU 9:30
SENG 511 LEC 01		: MO 18:00
SENG 511 LEC 01 LAB 01	: MO 9:00
SENG 511 LEC 01 LAB 02	: TU 11:00
SENG 513 LEC 01		: MO 15:00
SENG 513 LEC 01 LAB 01	: MO 17:00
